iter	RMSE
0	491.8014208
1	490.9934988
2	490.2894411
3	489.2841784
4	488.502854
5	485.5232609
6	484.1898328
7	483.5638732
8	480.5071245
9	477.7983997
10	475.1713087
11	472.8685948
12	470.3134135
13	467.669913
14	467.1883237
15	464.7760431
16	462.4695593
17	460.1413423
18	457.9752019
19	455.8611891
20	455.5009141
21	453.4613852
22	453.018427
23	452.6795319
24	450.6919186
25	448.7662904
26	448.4547479
27	447.7607744
28	447.389845
29	445.5073054
30	443.9814023
31	443.3208964
32	443.0969243
33	441.3297498
34	439.6141891
35	437.9386548
36	436.3250788
37	435.8486883
38	435.5675318
39	435.1082165
40	434.3847775
41	433.9019068
42	433.1779151
43	431.6009721
44	430.891656
45	430.2134857
46	428.6922057
47	428.3676132
48	426.8908968
49	426.5699072
50	425.1323257
51	423.7421447
52	422.4252277
53	422.3912378
54	421.0793817
55	419.6852146
56	419.4574762
57	418.2192464
58	417.5486211
59	416.8993281
60	416.6706521
61	416.4810753
62	416.1317008
63	415.4945698
64	414.2913593
65	413.1259402
66	411.9958527
67	411.3573818
68	411.1257149
69	410.8337511
70	409.7358942
71	408.7041085
72	407.6223735
73	407.0126165
74	406.0394034
75	405.4550333
76	404.4805067
77	403.5348782
78	403.2434171
79	402.7445268
80	402.1836437
81	401.2664324
82	400.7192528
83	399.8298618
84	399.4882455
85	399.2664883
86	398.9436766
87	398.0489205
88	397.9079568
89	397.6950366
90	396.8297947
91	396.016727
92	395.4660265
93	394.6336413
94	393.8894006
95	393.131227
96	392.5920831
97	391.844018
98	391.1463674
99	390.4729079
100	390.2089912
101	389.7019985
102	389.042929
103	388.5501989
104	388.0722566
105	387.6134313
106	387.4653427
107	386.8890393
108	386.4320917
109	385.830502
110	385.228886
111	384.9778351
112	384.8170959
113	384.1355059
114	383.9565198
115	383.4078599
116	382.9553272
117	382.5223467
118	381.9729137
119	381.6693594
120	381.3146593
121	381.0656665
122	380.6454565
123	380.3540207
124	380.2072078
125	379.7942951
126	379.398741
127	379.0794174
128	378.6076688
129	378.376277
130	378.0014343
131	377.60688
132	377.0923477
133	376.5940658
134	376.2185516
135	375.8547642
136	375.2742159
137	374.8049321
138	374.3547172
139	374.0041895
140	373.7202705
141	373.5031832
142	373.1780536
143	372.6816625
144	372.4927993
145	372.0740133
146	371.7312554
147	371.511106
148	371.0532995
149	370.8161574
150	370.4727627
151	370.1314509
152	370.017606
153	369.7396431
154	369.3367291
155	368.9042618
156	368.5936271
157	368.2811826
158	367.9902558
159	367.7935625
160	367.4999555
161	367.2275119
162	366.8016702
163	366.3949222
164	365.9996577
165	365.7345764
166	365.5868387
167	365.4530513
168	365.1864435
169	364.9272099
170	364.5463085
171	364.2949527
172	364.0533006
173	363.8198259
174	363.5945448
175	363.3761707
176	362.9820056
177	362.9334756
178	362.7293481
179	362.6200264
180	362.417243
181	362.0282743
182	361.833525
183	361.6454458
184	361.2698324
185	361.0876121
186	360.7228701
187	360.5291213
188	360.353125
189	360.1675854
190	360.0007887
191	359.6488567
192	359.4643526
193	359.1217875
194	358.9458909
195	358.7747617
196	358.4445584
197	358.2808853
198	358.1151905
199	357.7935778
200	357.4829218
201	357.3211208
202	357.1600808
203	357.0037064
204	356.7022992
205	356.5386188
206	356.2472725
207	355.963559
208	355.6890604
209	355.42348
210	355.2811041
211	355.1247104
212	354.9730789
213	354.8264388
214	354.5694692
215	354.4217521
216	354.2841671
217	354.1517077
218	353.9029005
219	353.6808453
220	353.2026758
221	353.0013962
222	352.5442114
223	352.3606673
224	352.217007
225	351.9779409
226	351.8390347
227	351.6077036
228	351.4733954
229	351.335682
230	351.1435445
231	351.0098392
232	350.8923747
233	350.4513168
234	350.2270318
235	350.0974916
236	349.9672241
237	349.7502096
238	349.5402732
239	349.4022981
240	349.199112
241	349.0025558
242	348.8283584
243	348.3997007
244	348.2424936
245	347.912157
246	347.8045176
247	347.7011439
248	347.5769741
249	347.1777706
250	347.0806051
251	346.9589487
252	346.7678499
253	346.3840217
254	346.0804741
255	345.8953421
256	345.7717079
257	345.5925536
258	345.4970607
259	345.3812049
260	345.3018451
261	345.184124
262	345.0702671
263	344.9937391
264	344.8836899
265	344.7430662
266	344.6309728
267	344.5244701
268	344.450566
269	344.3476227
270	344.2398527
271	344.1356517
272	344.0360774
273	343.9628511
274	343.7893379
275	343.4898964
276	343.3883499
277	343.1082484
278	343.0118072
279	342.9141491
280	342.7849837
281	342.6166626
282	342.523333
283	342.2414826
284	342.1511464
285	342.0440964
286	341.8810798
287	341.7936373
288	341.5306233
289	341.3728157
290	341.1194487
291	341.0269933
292	340.8741927
293	340.6289216
294	340.481014
295	340.3379452
296	340.1087877
297	339.9702567
298	339.9033684
299	339.68396
300	339.5990759
301	339.4649922
302	339.375216
303	339.3126256
304	339.182287
305	338.9444239
306	338.8575431
307	338.731945
308	338.6497743
309	338.4125044
310	338.2162507
311	338.1367127
312	338.0597924
313	337.9756081
314	337.7525068
315	337.6307602
316	337.512417
317	337.4314759
318	337.3709448
319	337.1548862
320	337.0765927
321	336.8575299
322	336.6552339
323	336.5966429
324	336.4869472
325	336.4302879
326	336.3155406
327	336.1409861
328	336.0663999
329	335.9917021
330	335.9187578
331	335.8459083
332	335.7095087
333	335.5988445
334	335.3957497
335	335.288152
336	335.218221
337	335.1634401
338	335.095574
339	334.9914816
340	334.9385662
341	334.7844238
342	334.7136787
343	334.5358603
344	334.3103894
345	334.1219754
346	334.0706647
347	334.0049853
348	333.8468274
349	333.6644205
350	333.5633545
351	333.4201016
352	333.3119652
