iter	Passed	Remaining
0	6	6162
1	13	6949
2	26	8753
3	37	9370
4	46	9257
5	56	9427
6	70	9942
7	85	10555
8	94	10415
9	104	10375
10	113	10163
11	123	10181
12	133	10165
13	142	10046
14	152	9989
15	160	9899
16	171	9926
17	181	9928
18	191	9869
19	200	9834
20	209	9784
21	220	9794
22	228	9697
23	238	9691
24	247	9642
25	257	9628
26	265	9581
27	274	9542
28	285	9550
29	293	9481
30	303	9490
31	313	9468
32	318	9341
33	324	9209
34	333	9195
35	340	9109
36	346	9015
37	351	8908
38	357	8801
39	362	8704
40	368	8608
41	373	8513
42	378	8427
43	383	8343
44	389	8264
45	394	8189
46	399	8109
47	405	8033
48	410	7966
49	415	7899
50	421	7834
51	425	7757
52	430	7693
53	435	7634
54	440	7576
55	446	7523
56	451	7471
57	456	7421
58	462	7372
59	467	7321
60	472	7275
61	478	7234
62	483	7193
63	488	7148
64	494	7106
65	499	7063
66	504	7025
67	509	6988
68	515	6951
69	520	6915
70	525	6879
71	530	6843
72	536	6809
73	541	6780
74	546	6739
75	551	6706
76	556	6676
77	562	6643
78	567	6616
79	572	6586
80	577	6556
81	583	6528
82	588	6500
83	593	6469
84	598	6443
85	604	6423
86	613	6435
87	618	6411
88	624	6390
89	629	6364
90	634	6337
91	639	6316
92	645	6295
93	651	6274
94	656	6253
95	661	6230
96	667	6209
97	672	6187
98	677	6164
99	682	6144
100	687	6116
101	692	6097
102	697	6074
103	702	6056
104	708	6038
105	713	6021
106	719	6001
107	724	5983
108	729	5966
109	735	5946
110	740	5928
111	745	5910
112	750	5890
113	755	5873
114	761	5857
115	766	5840
116	771	5822
117	776	5805
118	782	5789
119	787	5771
120	792	5756
121	797	5739
122	802	5721
123	807	5705
124	812	5690
125	818	5675
126	823	5658
127	827	5638
128	832	5622
129	837	5607
130	843	5593
131	848	5578
132	853	5562
133	858	5548
134	863	5535
135	869	5523
136	875	5513
137	881	5503
138	886	5491
139	891	5478
140	896	5464
141	902	5452
142	907	5440
143	912	5426
144	918	5413
145	923	5400
146	928	5386
147	933	5373
148	938	5359
149	943	5347
150	949	5335
151	956	5338
152	962	5326
153	966	5309
154	971	5298
155	977	5286
156	982	5273
157	987	5260
158	992	5250
159	997	5238
160	1002	5226
161	1008	5214
162	1013	5202
163	1018	5191
164	1023	5179
165	1028	5169
166	1034	5158
167	1039	5146
168	1045	5139
