Actual test,Predicted value
100,45.05224609
20,132.806015
16,65.81166077
2,115.8386383
202,173.9950714
91,66.90260315
10,100.6539154
88,94.86898804
65,54.76158142
7,146.2401276
105,80.65626526
50,63.16767883
33,73.11924744
231,120.4365387
1,91.62832642
173,90.46476746
893,115.3601532
87,123.6345825
41,55.81573486
65,87.25579834
70,41.18869019
5,173.0189056
0,74.83966064
163,94.3502655
87,94.67060852
115,181.718277
332,262.8049469
13,76.10388184
55,62.6103363
116,145.1499176
13,143.4599152
90,90.59703064
8,79.1907196
22,75.35876465
55,121.0717926
72,59.66394043
40,115.1594086
9,108.8813324
94,51.19699097
108,148.5139008
82,112.8955383
150,127.2206116
7,43.65409851
12,50.44134521
6,82.29081726
193,119.8762665
21,156.4853058
14,78.00444031
206,122.2750702
134,57.6776886
135,86.62307739
162,107.2005768
120,95.61935425
18,63.17481995
112,82.95700073
132,104.5997467
227,100.0118561
89,48.09536743
16,99.29434204
22,77.48643494
13,46.94502258
4,63.25274658
121,50.42680359
95,146.0724792
136,79.3286438
55,75.97477722
43,72.77828979
361,63.85708618
11,54.97039795
59,75.4236908
22,80.71772766
14,89.36488342
1708,132.4459076
4,64.76277161
11,51.33152771
29,109.2280121
101,108.1873932
70,107.9489136
14,47.88670349
39,101.0123749
6,79.50297546
4,81.71621704
192,107.6798706
1,83.40623474
69,118.5207062
129,149.4528351
174,101.4607849
24,77.48643494
118,80.381073
139,110.3255463
33,146.6160431
74,81.8359375
25,106.0461731
53,83.03288269
80,81.47740173
128,86.12557983
110,78.10754395
53,88.23683167
82,95.06481934
1,108.6604919
23,77.51931763
103,135.2704773
43,96.94874573
8,51.77993774
121,63.10359192
58,48.28892517
9,41.14538574
14,59.97073364
17,90.90522766
43,127.2973785
53,87.81105042
84,146.8387909
27,223.8448792
8,123.6532745
76,50.93597412
39,84.19265747
48,38.79219055
10,87.88510132
47,137.1323853
75,57.22142029
307,186.0063782
44,80.60017395
240,125.0246887
50,120.4137115
57,106.4382629
47,89.32478333
7,51.54722595
116,83.10838318
95,51.51089478
63,70.66934204
0,77.61987305
10,104.3687592
86,85.79685974
63,81.69493103
36,42.80328369
5,91.66545105
38,44.16343689
25,61.19541931
42,98.71644592
54,116.3035431
44,96.62931824
3,116.25177
21709,110.1910248
32,79.08540344
137,73.55102539
42,59.62731934
18,109.9750214
10,66.97463989
46,296.2997589
8,89.81330872
169,75.45262146
69,46.93699646
50,50.72357178
22,303.3493347
11,38.83702087
57,111.6402435
42,59.27661133
154,92.28413391
114,78.81159973
5,88.22039795
61,72.09832764
144,57.09474182
24,87.29444885
12,63.90193176
83,80.73275757
132,104.9139099
35,98.59089661
19,133.2810211
26,121.2177582
110,105.4187012
267,81.33927917
300,96.94354248
134,75.53813171
263,148.0004578
89,73.6426239
6,110.9507599
29,200.0621033
2,97.57635498
40,49.30511475
15,134.7342377
248,70.14518738
36,84.50656128
14,44.32836914
146,68.82521057
10,93.63850403
22,59.22373962
80,47.21270752
35,101.1917267
15,50.79011536
32,191.5722198
59,70.23487854
124,54.69789124
60,164.340683
82,56.49639893
2,82.32499695
191,92.612854
172,124.8759003
102,72.87840271
85,102.0746002
117,82.98191833
26,68.33863831
2,63.75279236
257,120.2499237
50,101.6710205
31,79.10075378
306,163.8654327
16,79.47616577
32,95.77041626
81,50.66691589
55,69.26451111
115,91.59143066
38,92.79222107
21,71.02915955
28,39.91322327
116,125.4939728
93,232.9778595
78,80.6206665
159,73.50120544
69,52.92364502
181,101.1196136
20,66.90635681
24,36.8405304
29,76.60108948
1,66.04533386
10,51.96734619
24,77.48643494
221,72.31562805
85,85.3056488
190,68.00601196
3,54.75784302
1,60.27775574
84,70.40138245
146,125.1503143
78,142.5490875
34,81.70426941
152,111.998703
224,98.61807251
87,70.62167358
24,116.289566
36,140.8289185
31,56.53846741
18,81.78926086
54,31.6836853
31,64.07640076
70,66.4471283
1,99.25382996
41,134.6431732
159,93.86164856
113,72.62950134
184,104.8490448
69,143.164566
69,74.7959137
100,107.7389679
44,170.6772614
39,42.62391663
129,96.08221436
29,75.62200928
64,69.32351685
57,65.77366638
67,67.09754944
14,130.6522369
216,98.67712402
943,163.6127319
110,83.87069702
18,75.84622192
49,60.2706604
49,51.72659302
162,67.0408783
161,85.41671753
78,107.7386932
31,70.58102417
25,89.02178955
123,74.69224548
2,77.81495667
7,124.0421753
40,50.99919128
51,80.62538147
85,101.3492126
1,88.29341125
123,106.1125031
140,71.65696716
247,219.7494202
27,102.5818329
10,64.28544617
65,121.4720917
140,137.64711
231,97.64344788
7,92.27381897
52,105.3777771
106,159.0167084
14,214.1222839
41,84.19265747
6,115.3462372
13,50.85546875
121,63.10359192
18,54.26133728
50,100.8935699
32,72.31370544
6,182.0674591
61,104.7345428
37,120.0546722
285,116.7286224
7,87.95133972
42,180.1199188
31,130.1864471
112,91.89308167
71,107.8674469
44,58.52891541
259,50.65066528
100,141.6847687
22,92.16650391
59,145.1970673
25,71.51600647
180,87.55581665
213,106.3040161
218,55.67984009
49,100.2463531
240,79.1565094
14,128.3504639
13,86.80593872
9,64.87828064
37,51.42922974
83,60.18841553
130,58.12611389
186,87.86351013
133,68.59370422
2,60.90632629
46,72.26602173
134,137.1815643
119,81.02897644
47,179.0964508
53,79.46012878
4,192.962326
84,122.2832794
66,77.23045349
10,114.4451294
4234,118.8275909
1302,166.9537811
182,106.8278656
211,74.82455444
277,66.5177002
77,107.5593262
43,62.47502136
19,101.7628021
83,96.89204407
3,83.37744141
118,86.23066711
6,79.14424133
127,224.0709229
18,103.8374176
95,75.60307312
42,57.85569763
12,83.84004211
54,76.27571106
2,66.85447693
187,93.22131348
14,29.94287109
12,79.54899597
146,59.335495
189,84.09490967
176,101.371109
50,116.7895355
39,109.8382721
10,83.78485107
40,69.23503113
100,67.5630188
93,90.53077698
60,35.0254364
15,98.9499054
0,80.62567139
43,49.88806152
255,104.3188019
56,58.77531433
9,81.90571594
156,172.7708893
59,82.8792572
75,113.554184
218,70.11836243
6,103.0869141
1,66.53096008
16,94.42628479
