bifurcations,created_on_converted_to_minutes,total_time_elapsed_in_minutes
201-300,289,351
201-300,289,347
201-300,289,359
201-300,289,349
201-300,289,358
201-300,274,391
201-300,261,472
201-300,259,332
201-300,254,418
201-300,251,336
201-300,237,412
201-300,235,398
201-300,220,470
201-300,216,473
201-300,214,474
201-300,210,461
201-300,210,454
201-300,210,473
201-300,210,446
201-300,210,457
201-300,210,456
201-300,210,455
201-300,210,435
201-300,210,423
201-300,210,464
201-300,210,460
201-300,210,451
201-300,210,458
201-300,210,457
201-300,210,455
201-300,210,455
201-300,210,455
201-300,210,421
201-300,210,460
201-300,210,460
201-300,210,460
201-300,210,461
201-300,210,456
201-300,207,420
201-300,203,403
201-300,203,326
201-300,202,328
101-200,200,488
101-200,199,330
101-200,193,399
101-200,192,338
101-200,190,340
101-200,187,357
101-200,182,349
101-200,177,354
101-200,176,421
101-200,176,357
101-200,175,422
101-200,174,359
101-200,173,494
101-200,173,466
101-200,172,467
101-200,166,369
101-200,165,409
101-200,164,370
101-200,163,539
101-200,163,462
101-200,163,428
101-200,163,539
101-200,163,539
101-200,163,427
101-200,163,448
101-200,163,456
101-200,163,372
101-200,163,470
101-200,163,538
101-200,162,639
101-200,161,570
101-200,158,473
101-200,157,474
101-200,157,457
101-200,157,456
101-200,157,458
101-200,157,455
101-200,157,474
101-200,157,454
101-200,157,449
101-200,157,457
101-200,157,475
101-200,157,473
101-200,157,472
101-200,157,458
101-200,157,462
101-200,157,459
101-200,157,461
101-200,157,439
101-200,157,441
101-200,157,443
101-200,157,443
101-200,157,445
101-200,157,447
101-200,157,450
101-200,157,452
101-200,157,436
101-200,156,475
101-200,154,470
101-200,154,457
101-200,154,466
101-200,154,469
101-200,154,456
101-200,154,463
101-200,154,455
101-200,154,452
101-200,154,449
101-200,154,445
101-200,154,458
101-200,151,579
101-200,150,589
101-200,150,432
101-200,150,465
101-200,149,454
101-200,149,541
101-200,148,501
101-200,147,495
101-200,143,1200
101-200,139,488
101-200,139,494
101-200,139,492
101-200,139,488
101-200,139,489
101-200,139,493
101-200,139,493
101-200,139,493
101-200,139,490
101-200,139,495
101-200,139,494
101-200,139,491
101-200,139,490
101-200,139,486
101-200,139,496
101-200,139,489
101-200,139,493
101-200,137,497
101-200,137,667
101-200,134,523
101-200,130,715
101-200,129,520
101-200,129,521
101-200,129,519
101-200,129,522
101-200,129,518
101-200,129,519
101-200,129,518
101-200,129,461
101-200,125,339
101-200,125,345
101-200,125,348
101-200,125,330
101-200,125,343
101-200,125,342
101-200,125,343
101-200,125,350
101-200,125,342
101-200,125,340
101-200,125,342
101-200,125,340
101-200,125,344
101-200,125,347
101-200,125,669
101-200,125,353
101-200,125,347
101-200,125,339
