"reported_by","years","updated_on_day","total_reporting_time_taken_hh_mm_ss","min_reporting_time_taken_hh_mm_ss","avg_reporting_time_taken_hh_mm_ss","max_reporting_time_taken_hh_mm_ss","count_of_xrays"
"Dr_Avinash_Mural","2019","Friday   ","03:32:11","03:32:11","03:32:11","03:32:11","1"
"Dr_Avinash_Mural","2019","Monday   ","00:43:36","00:43:36","00:43:36","00:43:36","1"
"Dr_Avinash_Mural","2019","Thursday ","00:55:08","00:55:08","00:55:08","00:55:08","1"
"Dr_Avinash_Mural","2019","Tuesday  ","09:09:55","00:15:50","02:17:28.75","05:19:35","4"
"Dr_Avinash_Mural","2019","Wednesday","00:21:42","00:21:42","00:21:42","00:21:42","1"
"Dr_Himanshu_Desai","2020","Friday   ","15:10:02","00:32:44","03:47:30.5","11:05:43","4"
"Dr_Himanshu_Desai","2020","Monday   ","12:24:47","01:22:22","02:28:57.4","04:01:11","5"
"Dr_Himanshu_Desai","2020","Saturday ","01:37:12","00:08:38","00:32:24","01:01:02","3"
"Dr_Himanshu_Desai","2020","Sunday   ","40:21:49","01:30:21","05:45:58.428571","12:42:15","7"
"Dr_Himanshu_Desai","2020","Thursday ","00:00:00","00:00:00","00:00:00","00:00:00","1"
"Dr_Himanshu_Desai","2020","Tuesday  ","28:49:32","01:32:01","09:36:30.666667","13:40:37","3"
"Dr_Himanshu_Desai","2020","Wednesday","01:37:12","00:41:01","00:48:36","00:56:11","2"
"Dr_Jayesh_Shah","2020","Friday   ","15:07:13","00:04:53","01:30:43.3","02:28:11","10"
"Dr_Jayesh_Shah","2020","Monday   ","21:37:22","00:29:14","02:09:44.2","10:28:33","10"
"Dr_Jayesh_Shah","2020","Saturday ","43:35:01","00:00:00","01:58:51.863636","12:25:26","22"
"Dr_Jayesh_Shah","2020","Sunday   ","42:18:27","00:13:57","04:13:50.7","15:27:58","10"
"Dr_Jayesh_Shah","2020","Thursday ","56:23:59","00:09:39","05:38:23.9","13:21:05","10"
"Dr_Jayesh_Shah","2020","Tuesday  ","35:01:53","00:32:30","01:56:46.277778","05:08:55","18"
