Actual test,Predicted_value
16,104.6154647
7,110.8816147
828,125.4893275
95,109.5246141
85,112.7574685
9,130.558124
165,121.1389431
171,106.8904364
15,132.9129192
14,116.0302348
98,121.4582374
37,120.8595606
143,127.0059753
1120,126.6068574
46,107.9281427
18,109.9237319
28,110.4824969
23,104.6553765
81,110.0434673
147,104.4558176
83,126.8064164
24,123.9726797
138,110.9614383
131,101.2229631
7,110.3627615
6,104.0566997
48,112.7973803
60,114.9925284
173,109.8039966
133,127.6844756
37,114.9925284
9,128.8020055
95,116.3495291
21,107.8483192
64,113.6355278
112,120.9393842
162,107.1698188
63,124.2520622
53,115.5512934
170,118.6245007
705,133.5914196
3,111.200909
358,82.74380731
34,112.2386154
31,131.7554775
98,113.1166746
58,109.4847023
10,125.1700332
98,123.0547087
49,108.4070841
660,136.2655091
80,105.0145825
43,108.4070841
125,113.7552631
6,107.7285838
167,110.5224087
16,133.3519489
140,117.2675001
2,106.411495
51,106.1720243
8,116.549088
199,107.8084074
22,115.0324402
61,107.688672
4,109.8838201
15,114.8328813
70,111.8794093
212,116.7885587
84,115.2719109
8,126.1678278
23,125.1301214
58,119.6222953
23,126.0480925
95,124.0125915
124,130.9572418
38,115.8306759
19,113.5557042
24,103.2584641
136,116.2297937
59,119.9415896
165,109.2452316
142,111.9991447
8,109.4847023
29,116.908294
91,113.6355278
50,117.2275883
67,109.0057609
224,109.6044376
6,112.1587918
2,113.7153513
84,107.9680545
66,118.6644125
181,111.1609972
864,128.2432406
1,115.5912052
65,113.7951749
43,105.7729064
4,112.3982625
176,106.0922007
26,120.5003546
204,109.0855845
62,125.0902097
111,110.8816147
9,107.7684956
14,129.9195355
52,125.6489746
119,117.2275883
45,120.1012367
99,105.85273
60,114.6732342
31,120.8196488
13,109.2452316
75,112.7973803
6,113.9149103
58,111.1210854
46,119.8218542
31,126.9261517
96,111.0811736
16,105.4536122
19,107.3693778
3,122.1367377
7,117.6267061
25,129.081388
214,117.5468826
19,106.5312303
816,125.76871
250,114.9925284
832,129.8397119
70,101.9413752
41,114.7530577
166,115.0324402
813,128.9616527
161,118.943795
40,113.5157924
75,107.2895542
40,115.5512934
10,113.6754396
154,115.8705877
218,117.8661768
2,110.2430262
75,123.9726797
95,104.7751118
24,115.2319991
40,125.4893275
26,113.1964982
2,117.7863533
143,100.6242863
6,105.9724653
43,112.9171157
771,134.2699199
66,113.1565864
52,117.5867944
22,117.3872354
9,129.7998001
331,111.2807326
86,117.6666179
64,110.9614383
47,128.4427995
109,111.6000268
141,111.200909
112,118.7841479
133,110.8816147
27,106.4514067
25,125.8485335
2,109.0057609
121,128.6822702
62,110.642144
11,110.0434673
51,128.8419173
3,128.4028877
268,114.3140281
637,82.58416017
124,120.2608839
45,107.7285838
182,117.3872354
24,110.3228497
29,102.8593462
221,116.7486469
154,104.2562586
72,104.934759
117,111.9193211
29,106.6509657
12,108.8860255
26,119.5424717
84,109.6443494
181,127.2853578
539,86.57533853
15,112.7175568
61,120.6600017
111,116.4692644
122,111.7995857
18,104.4558176
13,127.2055342
50,108.3272606
20,118.1854711
115,105.4935239
67,113.036851
751,135.3874498
76,111.6000268
47,125.8884453
66,101.5023456
105,131.9949482
91,132.3940661
7,114.8727931
161,106.4913185
22,117.1477647
15,114.9526166
454,86.01657356
23,120.2209721
29,113.8350867
194,115.8705877
458,86.33586783
18,105.9724653
347,113.2364099
208,114.6333224
44,120.8994724
230,107.2097306
97,123.4937383
18,114.7131459
25,103.2983758
44,115.8705877
41,113.9947338
73,108.4070841
5,109.4847023
28,107.1299071
287,103.458023
82,101.7817281
60,128.6822702
20,119.303001
9,124.4516211
182,109.3250552
97,112.0789682
13,133.4317724
94,119.6222953
2809,108.4469959
84,106.7307892
