"reported_by","years","updated_on_month","updated_on_day","total_reporting_time_taken_hh_mm_ss","min_reporting_time_taken_hh_mm_ss","avg_reporting_time_taken_hh_mm_ss","max_reporting_time_taken_hh_mm_ss","count_of_xrays"
"Dr_Nikunj_Kothia","2019","June     ","Monday   ","07:44:40","03:51:59","03:52:20","03:52:41","2"
"Dr_Rakesh_Jain","2019","July     ","Monday   ","02:37:19","02:37:19","02:37:19","02:37:19","1"
"Dr_Nikunj_Kothia","2019","July     ","Thursday ","00:33:24","00:33:24","00:33:24","00:33:24","1"
"Dr_Nikunj_Kothia","2019","July     ","Friday   ","00:17:20","00:17:20","00:17:20","00:17:20","1"
"Dr_Nikunj_Kothia","2019","August   ","Saturday ","03:24:59","03:24:59","03:24:59","03:24:59","1"
"Dr_Rakesh_Jain","2019","August   ","Wednesday","01:26:27","01:26:27","01:26:27","01:26:27","1"
"Dr_Nikunj_Kothia","2019","August   ","Monday   ","06:55:08","03:26:52","03:27:34","03:28:16","2"
"Dr_Rathod","2019","August   ","Thursday ","02:16:18","02:16:18","02:16:18","02:16:18","1"
"Dr_Nikunj_Kothia","2019","August   ","Friday   ","20:18:18","00:47:41","04:03:39.6","08:21:39","5"
"Dr_Nikunj_Kothia","2019","August   ","Thursday ","04:19:25","04:19:25","04:19:25","04:19:25","1"
"Dr_Rakesh_Jain","2019","August   ","Monday   ","01:16:01","00:34:40","00:38:00.5","00:41:21","2"
"Dr_Nikunj_Kothia","2019","September","Saturday ","11:41:55","00:14:18","01:40:16.428571","03:51:04","7"
"Dr_Nikunj_Kothia","2019","September","Wednesday","21:10:02","02:04:18","10:35:01","19:05:44","2"
"Dr_Nikunj_Kothia","2019","September","Monday   ","12:17:26","02:28:56","04:05:48.666667","06:46:02","3"
"Dr_Nikunj_Kothia","2019","September","Friday   ","09:22:45","00:24:33","01:52:33","03:50:49","5"
"Dr_Nikunj_Kothia","2019","September","Thursday ","06:39:01","06:39:01","06:39:01","06:39:01","1"
"Dr_Nikunj_Kothia","2019","September","Tuesday  ","04:06:20","01:05:13","02:03:10","03:01:07","2"
"Dr_Nikunj_Kothia","2019","October  ","Friday   ","26:09:18","00:10:29","03:44:11.142857","14:28:20","7"
"Dr_Nikunj_Kothia","2019","October  ","Thursday ","14:57:42","00:09:33","02:08:14.571429","06:25:55","7"
"Dr_Nikunj_Kothia","2019","October  ","Monday   ","00:29:14","00:29:14","00:29:14","00:29:14","1"
"Dr_Avinash_Mural","2019","October  ","Thursday ","00:55:08","00:55:08","00:55:08","00:55:08","1"
"Dr_Nikunj_Kothia","2019","October  ","Tuesday  ","16:57:53","00:13:29","02:07:14.125","05:40:22","8"
"Dr_Nikunj_Kothia","2019","October  ","Saturday ","05:31:21","05:31:21","05:31:21","05:31:21","1"
"Dr_Avinash_Mural","2019","October  ","Tuesday  ","07:24:13","02:04:38","03:42:06.5","05:19:35","2"
"Dr_Nikunj_Kothia","2019","October  ","Wednesday","16:05:41","16:05:41","16:05:41","16:05:41","1"
"Dr_Nikunj_Kothia","2019","October  ","Sunday   ","03:36:58","03:36:58","03:36:58","03:36:58","1"
"Dr_Nikunj_Kothia","2019","November ","Wednesday","12:55:47","02:52:50","03:13:56.75","03:33:59","4"
"Dr_Avinash_Mural","2019","November ","Friday   ","03:32:11","03:32:11","03:32:11","03:32:11","1"
"Dr_Nikunj_Kothia","2019","November ","Monday   ","13:23:19","00:15:18","04:27:46.333333","11:43:55","3"
"Dr_Nikunj_Kothia","2019","November ","Thursday ","03:01:45","00:07:37","01:00:35","02:45:25","3"
"Dr_Nikunj_Kothia","2019","November ","Friday   ","15:07:50","00:06:51","03:46:57.5","12:15:29","4"
"Dr_Avinash_Mural","2019","November ","Monday   ","00:43:36","00:43:36","00:43:36","00:43:36","1"
"Dr_Nikunj_Kothia","2019","November ","Sunday   ","05:54:47","00:21:20","00:59:07.833333","02:26:58","6"
"Dr_Paras_Patil","2019","November ","Thursday ","00:01:03","00:01:03","00:01:03","00:01:03","1"
