"reported_by","years","updated_on_month","total_reporting_time_taken_hh_mm_ss","min_reporting_time_taken_hh_mm_ss","avg_reporting_time_taken_hh_mm_ss","max_reporting_time_taken_hh_mm_ss","count_of_xrays"
"Dr_Avinash_Mural","2019","October  ","08:19:21","00:55:08","02:46:27","05:19:35","3"
"Dr_Avinash_Mural","2019","November ","06:23:11","00:15:50","01:16:38.2","03:32:11","5"
"Dr_Himanshu_Desai","2020","June     ","19:41:10","00:08:38","01:47:22.727273","03:56:09","11"
"Dr_Himanshu_Desai","2020","July     ","74:59:27","00:00:00","05:46:06.692308","13:40:37","13"
"Dr_Himanshu_Desai","2020","August   ","05:19:57","05:19:57","05:19:57","05:19:57","1"
"Dr_Jayesh_Shah","2020","February ","26:46:48","00:13:51","08:55:36","14:07:31","3"
"Dr_Jayesh_Shah","2020","March    ","100:18:30","00:04:53","05:16:45.789474","15:27:58","19"
"Dr_Jayesh_Shah","2020","April    ","15:30:27","00:09:39","01:17:32.25","02:23:48","12"
"Dr_Jayesh_Shah","2020","May      ","12:36:58","00:00:00","00:54:04.142857","05:08:55","14"
"Dr_Jayesh_Shah","2020","June     ","36:57:34","00:20:18","01:40:47.909091","03:38:45","22"
"Dr_Jayesh_Shah","2020","July     ","52:53:13","00:03:22","02:56:17.388889","13:37:24","18"
"Dr_Jayesh_Shah","2020","August   ","06:35:49","00:23:06","01:19:09.8","02:36:44","5"
"Dr_Mukesh_Patrawala","2020","January  ","10:53:19","10:53:19","10:53:19","10:53:19","1"
"Dr_Mukesh_Patrawala","2020","February ","21:51:07","00:10:08","01:17:07.470588","05:13:37","17"
"Dr_Mukesh_Patrawala","2020","March    ","19:34:33","00:08:36","02:10:30.333333","10:41:43","9"
"Dr_Nainesh_Meswani","2020","July     ","00:25:07","00:25:07","00:25:07","00:25:07","1"
"Dr_Nainesh_Meswani","2020","August   ","03:50:59","03:50:59","03:50:59","03:50:59","1"
"Dr_Nikunj_Kothia","2019","June     ","07:44:40","03:51:59","03:52:20","03:52:41","2"
"Dr_Nikunj_Kothia","2019","July     ","00:50:44","00:17:20","00:25:22","00:33:24","2"
"Dr_Nikunj_Kothia","2019","August   ","34:57:50","00:47:41","03:53:05.555556","08:21:39","9"
"Dr_Nikunj_Kothia","2019","September","65:17:29","00:14:18","03:15:52.45","19:05:44","20"
"Dr_Nikunj_Kothia","2019","October  ","83:48:07","00:09:33","03:13:23.346154","16:05:41","26"
"Dr_Nikunj_Kothia","2019","November ","89:29:50","00:06:51","02:37:56.176471","12:15:29","34"
"Dr_Nikunj_Kothia","2019","December ","32:55:58","00:02:54","01:29:49","15:15:16","22"
"Dr_Nikunj_Kothia","2020","January  ","44:26:12","00:08:25","01:31:56.275862","04:48:14","29"
"Dr_Nikunj_Kothia","2020","February ","23:28:00","00:04:10","01:33:52","12:10:21","15"
"Dr_Nikunj_Kothia","2020","March    ","19:12:02","00:30:15","01:22:17.285714","03:12:19","14"
"Dr_Nikunj_Kothia","2020","April    ","09:55:46","00:03:55","00:49:38.833333","02:35:32","12"
"Dr_Nikunj_Kothia","2020","May      ","65:08:10","00:00:00","01:09:47.321429","13:14:58","56"
"Dr_Nikunj_Kothia","2020","June     ","150:47:39","00:00:00","02:25:55.790323","23:00:12","62"
"Dr_Nikunj_Kothia","2020","July     ","122:32:22","00:04:58","02:06:45.896552","13:20:51","58"
"Dr_Nikunj_Kothia","2020","August   ","55:45:49","00:05:33","01:59:29.607143","05:01:51","28"
"Dr_Paras_Patil","2019","November ","01:58:27","00:01:03","00:39:29","01:04:35","3"
"Dr_Paras_Patil","2019","December ","03:11:45","01:04:20","01:35:52.5","02:07:25","2"
"Dr_Paras_Patil","2020","February ","01:25:27","00:06:43","00:42:43.5","01:18:44","2"
"Dr_Paras_Patil","2020","March    ","01:37:44","00:12:18","00:32:34.666667","00:46:36","3"
"Dr_Prajakta_Pawnikar","2019","December ","85:18:37","00:03:44","02:45:07","20:18:09","31"
"Dr_Prajakta_Pawnikar","2020","January  ","186:13:59","00:03:40","04:19:51.604651","18:43:40","43"
"Dr_Prajakta_Pawnikar","2020","February ","114:01:03","00:02:15","04:45:02.625","15:38:44","24"
"Dr_Prajakta_Pawnikar","2020","March    ","105:17:01","00:02:46","02:37:55.525","14:07:38","40"
"Dr_Prajakta_Pawnikar","2020","April    ","50:31:12","00:00:00","02:58:18.352941","18:23:45","17"
"Dr_Prajakta_Pawnikar","2020","May      ","68:08:49","00:01:41","02:03:54.212121","19:50:12","33"
"Dr_Prajakta_Pawnikar","2020","June     ","73:59:37","00:05:18","01:45:42.309524","10:42:40","42"
"Dr_Prajakta_Pawnikar","2020","July     ","121:08:28","00:06:50","02:07:31.017544","17:28:26","57"
"Dr_Prajakta_Pawnikar","2020","August   ","21:56:57","00:14:35","01:09:18.789474","03:49:48","19"
"Dr_Rakesh_Jain","2019","July     ","02:37:19","02:37:19","02:37:19","02:37:19","1"
"Dr_Rakesh_Jain","2019","August   ","02:42:28","00:34:40","00:54:09.333333","01:26:27","3"
"Dr_Rathod","2019","August   ","02:16:18","02:16:18","02:16:18","02:16:18","1"
"Dr_Ravi_Chavan","2020","March    ","02:33:32","02:33:32","02:33:32","02:33:32","1"
"Dr_Ravi_Chavan","2020","June     ","06:42:06","00:06:32","00:40:12.6","01:28:06","10"
"Dr_Ravi_Chavan","2020","July     ","15:10:24","00:01:08","00:56:54","02:22:01","16"
"Dr_Ravi_Chavan","2020","August   ","37:10:52","00:05:04","00:51:52.837209","02:25:05","43"
"Dr_Roopesh_Deshmukh","2020","July     ","26:44:43","00:06:40","02:40:28.3","11:26:34","10"
"Dr_Roopesh_Deshmukh","2020","August   ","00:42:53","00:42:53","00:42:53","00:42:53","1"
"Dr_Swapnil_Ingole","2020","February ","12:40:37","00:02:06","01:16:03.7","02:54:38","10"
"Dr_Vishal_Shah","2019","November ","00:26:15","00:26:15","00:26:15","00:26:15","1"
"Dr_Vishal_Shah","2019","December ","21:46:53","00:35:22","02:43:21.625","12:23:13","8"
"Dr_Vishal_Shah","2020","January  ","57:57:36","00:01:57","03:37:21","14:04:39","16"
"Dr_Vishal_Shah","2020","February ","22:46:39","00:10:32","07:35:33","21:27:49","3"
"Dr_Vishal_Shah","2020","March    ","00:54:49","00:01:37","00:27:24.5","00:53:12","2"
"Dr_Vishal_Shah","2020","May      ","01:32:39","00:05:26","00:30:53","00:44:27","3"
"Dr_Vishal_Shah","2020","June     ","21:45:51","00:01:38","01:48:49.25","11:59:02","12"
"Dr_Vishal_Shah","2020","July     ","09:22:09","09:22:09","09:22:09","09:22:09","1"
